feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
benzoate	Group	non-Severe	4.58415798809841	0.190797828773995	1.12747058058496e-40	5.13450102398391e-37	CPLM	1.99	96	96	0
benzoate	Group	non-COVID-19	4.3079452066509	0.193364460830035	3.62147156238106e-38	8.24609074754168e-35	CPLM	1.99	96	96	0
benzoate	Group	Severe	4.60055539533684	0.21159774848232	2.27518653787443e-37	3.45373316449338e-34	CPLM	1.99	96	96	0
beta-alanine	Group	Severe	1.86695468340133	0.12629415082641	1.08509992066958e-25	1.23538625968231e-22	CPLM	1.762	96	96	0
beta-alanine	Group	non-Severe	1.68379977490538	0.117013474766097	5.92504145735787e-25	5.39652775936155e-22	CPLM	1.762	96	96	0
beta-alanine	Group	non-COVID-19	1.61570399942712	0.117045513063582	7.71437158670319e-24	5.85520803430772e-21	CPLM	1.762	96	96	0
cytosine	Group	Severe	2.61923661592143	0.260812064959825	2.61471891014839e-16	1.70106141668797e-13	CPLM	1.651	96	93	3
N-palmitoyl-sphingosine (d18:1/16:0)	Group	Severe	0.849509521825169	0.0853839737415419	4.07513847225416e-16	2.31977257533068e-13	CPLM	1.99	96	96	0
4-chlorobenzoic acid	Group	non-Severe	0.859574488115214	0.092522904445768	9.40587976635328e-15	4.75937516177476e-12	CPLM	1.99	96	96	0
S-carboxyethylcysteine	Group	non-COVID-19	1.9492613635585	0.214287373546423	2.37138818311464e-14	1.07993017859041e-11	CPLM	1.99	96	96	0
S-carboxyethylcysteine	Group	Severe	2.08699354106637	0.234759857123267	6.34875638350703e-14	2.62838514277191e-11	CPLM	1.99	96	96	0
4-chlorobenzoic acid	Group	Severe	0.861858007536124	0.102757930313739	6.94028008695743e-13	2.43123350123109e-10	CPLM	1.99	96	96	0
S-carboxyethylcysteine	Group	non-Severe	1.77859889923915	0.211657450455944	6.43465669858921e-13	2.43123350123109e-10	CPLM	1.99	96	96	0
cytosine	Group	non-Severe	2.0171920088565	0.249886108208528	3.08519520446212e-12	1.00356992579432e-09	CPLM	1.651	96	93	3
N-palmitoyl-sphingosine (d18:1/16:0)	Group	non-Severe	0.614427074573778	0.0769237631999104	4.60931909548508e-12	1.39938927738927e-09	CPLM	1.99	96	96	0
N-formylphenylalanine	Group	Severe	0.60361072470312	0.0771246261173368	9.84935759213433e-12	2.80337340466123e-09	CPLM	1.99	96	96	0
mannose	Group	Severe	1.1525528496267	0.150661492552059	2.25722222793488e-11	6.04670001530321e-09	CPLM	1.99	96	96	0
tryptophan betaine	Group	Severe	-2.14390508278291	0.286938804477287	5.19967352058483e-11	1.31551740070796e-08	CPLM	1.99	96	96	0
8-hydroxyoctanoate	Group	Severe	1.00079532333136	0.136353910872945	9.61823812874404e-11	2.30533981254212e-08	CPLM	1.99	96	96	0
pregnen-diol disulfate*	Group	Severe	1.28814297667961	0.17608997755904	1.07758072084189e-10	2.45365130135698e-08	CPLM	1.868	96	96	0
allantoin	Group	non-Severe	0.603019064344695	0.0829393293111982	1.32599842410545e-10	2.87552229684581e-08	CPLM	1.99	96	96	0
sphingosine 1-phosphate	Group	non-COVID-19	-0.599897085521579	0.0848777767308149	3.39012721771584e-10	7.0175633406718e-08	CPLM	1.402	96	96	0
N-formylphenylalanine	Group	non-Severe	0.484847093850216	0.069453416292501	5.0580561538682e-10	1.0014951184659e-07	CPLM	1.99	96	96	0
